City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
374,codrington,-38.2667,141.9667,290.09,86,87,2.9,AU,1731390186
375,ciudad insurgentes,25.2625,-111.7753,290.56,73,99,3.67,MX,1731390187
376,dubbo,-32.25,148.6167,302.22,37,20,4.12,AU,1731390190
377,chongjin,41.7956,129.7758,287.08,23,0,7.39,KP,1731390192
378,wittstock,53.1612,12.4829,278.14,85,100,1.87,DE,1731390194
379,rechka-vydrino,51.485,104.8461,279.57,53,27,3.01,RU,1731390196
380,sheksna,59.21,38.5107,270.13,81,99,2.5,RU,1731390197
381,palikir - national government center,6.9248,158.1611,303.56,74,100,1.54,FM,1731390199
382,tamanrasset,22.785,5.5228,282.1,43,0,2.06,DZ,1731390200
383,richards bay,-28.783,32.0377,293.71,87,100,1.24,ZA,1731390201
384,kourou,5.1552,-52.6478,297.01,93,100,1.82,GF,1731390203
385,uyuni,-20.4597,-66.825,284.08,47,3,1.48,BO,1731390204
386,chabahar,25.2919,60.643,301.59,51,4,2.21,IR,1731390206
387,la'ie,21.6477,-157.9253,298.21,83,48,2.24,US,1731390207
388,ta`u,-14.2336,-169.5144,300.41,76,79,4.32,AS,1731390208
389,savanna-la-mar,18.219,-78.1332,298.11,92,87,1.3,JM,1731390211
390,korla,41.7597,86.1469,284.55,50,34,2.83,CN,1731390213
391,ketrzyn,54.0768,21.3753,271.85,86,0,1.21,PL,1731390214
392,nelidovo,56.2211,32.7774,272.97,95,100,1.92,RU,1731390215
393,pacific grove,36.6177,-121.9166,284.5,96,40,2.06,US,1731390217
394,turaif,31.6725,38.6637,284.29,76,0,3.09,SA,1731390218
395,dryden,49.7833,-92.7503,270.31,93,20,3.6,CA,1731390220
396,kupang,-10.1667,123.5833,307.47,55,20,6.17,ID,1731390221
397,ubari,26.5921,12.7805,290.14,30,45,4.03,LY,1731390222
398,villa gesell,-37.2639,-56.973,283.42,73,8,4.17,AR,1731390224
399,salaverry,-8.2333,-78.9667,288.36,87,100,2.9,PE,1731390225
400,paramonga,-10.6667,-77.8333,291.09,91,100,2.66,PE,1731390226
401,fort mcmurray,56.7268,-111.381,274.92,93,100,3.09,CA,1731390228
402,ghat,24.9647,10.1728,290.25,31,2,0.86,LY,1731390229
403,kapuskasing,49.4169,-82.4331,269.2,93,100,4.63,CA,1731390231
404,zhezqazghan,47.7833,67.7667,265.47,79,0,4.0,KZ,1731390232
405,porangatu,-13.4408,-49.1486,295.15,97,100,0.16,BR,1731390233
406,verkhnevilyuysk,63.4453,120.3167,260.8,95,95,1.31,RU,1731390235
407,formosa do rio preto,-11.0483,-45.1931,293.72,96,68,1.07,BR,1731390236
408,asha,54.9973,57.2722,266.33,93,99,2.88,RU,1731390117
409,hadibu,12.65,54.0333,300.09,70,33,6.04,YE,1731390239
410,mount isa,-20.7333,139.5,314.02,15,57,4.63,AU,1731390093
411,pyshma,56.9523,63.2513,267.44,78,96,5.47,RU,1731390242
412,coquimbo,-29.9533,-71.3436,286.0,100,0,1.54,CL,1731390128
413,saint-philippe,-21.3585,55.7679,297.14,80,50,5.36,RE,1731390245
414,launceston,-41.45,147.1667,297.95,38,9,6.69,AU,1731390246
415,matoury,4.8483,-52.3317,296.13,100,0,2.06,GF,1731390247
416,floro,61.5996,5.0328,280.13,93,75,3.6,NO,1731390249
417,selkirk,50.1436,-96.8845,272.69,80,68,3.13,CA,1731390250
418,colonia,50.9333,6.95,282.11,92,75,4.63,DE,1731390252
419,port douglas,-16.4833,145.4667,300.64,68,8,4.09,AU,1731390253
420,mejit,10.2753,170.8646,301.52,77,97,6.55,MH,1731390254
421,bartica,6.4,-58.6167,296.43,99,92,0.91,GY,1731390256
422,saint croix,17.7397,-64.7388,298.4,83,0,2.06,VI,1731390257
423,orchard homes,46.8633,-114.0484,281.23,56,100,9.26,US,1731390259
424,thunder bay,48.4001,-89.3168,270.14,93,0,2.06,CA,1731390260
425,san juan de miraflores,-12.1629,-76.9635,292.13,83,100,2.94,PE,1731390261
426,ardestan,33.3761,52.3694,292.53,26,84,0.86,IR,1731390263
427,heggadadevankote,12.0883,76.3283,299.29,62,27,2.67,IN,1731390264
428,faya-largeau,17.9257,19.1043,293.75,30,1,8.12,TD,1731390265
429,plastun,44.7561,136.2939,276.8,57,48,6.14,RU,1731390267
430,loreto,22.2667,-101.9667,289.31,49,9,5.22,MX,1731390268
431,walvis bay,-22.9575,14.5053,286.68,94,1,1.03,NA,1731390270
432,sambava,-14.2667,50.1667,300.28,71,26,4.25,MG,1731390271
433,kirishi,59.4471,32.0205,273.77,91,100,2.08,RU,1731390272
434,sasebo,33.1592,129.7228,293.2,64,14,3.69,JP,1731390274
435,margate,51.3813,1.3862,283.54,83,99,1.34,GB,1731390275
436,san jeronimo de juarez,17.1333,-100.4667,299.02,89,77,1.43,MX,1731390277
437,bluefields,12.0137,-83.7635,296.58,93,98,1.45,NI,1731390278
438,okha,53.5739,142.9478,269.68,65,100,6.95,RU,1731390279
439,lerwick,60.1545,-1.1494,283.45,90,95,6.3,GB,1731390281
440,zagora,30.3484,-5.8365,290.43,44,95,1.78,MA,1731390282
441,constitucion,-35.3333,-72.4167,285.72,68,27,3.45,CL,1731390284
442,alta,69.9689,23.2717,272.74,80,75,2.06,NO,1731390285
443,yuzhno-kurilsk,44.0306,145.8556,280.51,90,100,2.03,RU,1731390286
444,itamaraca,-7.7478,-34.8256,297.84,77,91,2.54,BR,1731390288
445,akjoujt,19.6969,-14.4164,295.9,16,0,3.35,MR,1731390289
446,toliara,-23.35,43.6667,303.9,53,63,3.62,MG,1731390291
447,windsor,42.3001,-83.0165,280.91,83,100,5.66,CA,1731390292
